epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,188.231,0.46729,0.43959,0.85207,1,0.99407,0.995,0.90491,0.43387,0.33518,0.8451,0.0013961,0.0013961,0.0013961
124,189.591,0.48709,0.44546,0.83241,1,0.99407,0.995,0.90491,0.43387,0.33518,0.8451,0.00139115,0.00139115,0.00139115
125,190.909,0.44878,0.41841,0.84944,0.98944,1,0.99485,0.91268,0.4184,0.32028,0.84114,0.0013862,0.0013862,0.0013862
126,192.307,0.47043,0.41739,0.83281,0.98944,1,0.99485,0.91268,0.4184,0.32028,0.84114,0.00138125,0.00138125,0.00138125
127,193.732,0.48775,0.43696,0.84378,0.98965,1,0.99495,0.91097,0.41274,0.31761,0.84023,0.0013763,0.0013763,0.0013763
128,195.076,0.44871,0.44467,0.82886,0.98965,1,0.99495,0.91097,0.41274,0.31761,0.84023,0.00137135,0.00137135,0.00137135
129,196.464,0.44129,0.41239,0.8434,0.9949,0.99997,0.99495,0.90238,0.43731,0.32122,0.84688,0.0013664,0.0013664,0.0013664
130,197.854,0.45884,0.4416,0.84677,0.9949,0.99997,0.99495,0.90238,0.43731,0.32122,0.84688,0.00136145,0.00136145,0.00136145
131,199.356,0.44167,0.41995,0.83637,0.9949,0.99999,0.99485,0.90876,0.42193,0.30933,0.84188,0.0013565,0.0013565,0.0013565
132,200.717,0.46642,0.44118,0.82987,0.9949,0.99999,0.99485,0.90876,0.42193,0.30933,0.84188,0.00135155,0.00135155,0.00135155
133,202.343,0.46567,0.46535,0.86019,0.9949,0.99959,0.99474,0.90708,0.42776,0.30292,0.84713,0.0013466,0.0013466,0.0013466
134,203.744,0.44121,0.39822,0.81313,0.9949,0.99959,0.99474,0.90708,0.42776,0.30292,0.84713,0.00134165,0.00134165,0.00134165
135,205.127,0.4516,0.42462,0.84882,0.99313,1,0.99393,0.91067,0.41062,0.30249,0.83983,0.0013367,0.0013367,0.0013367
136,206.467,0.42964,0.39344,0.82244,0.99313,1,0.99393,0.91067,0.41062,0.30249,0.83983,0.00133175,0.00133175,0.00133175
137,208.012,0.44149,0.40006,0.84136,0.98812,0.99487,0.99387,0.90827,0.41675,0.31207,0.84127,0.0013268,0.0013268,0.0013268
138,209.474,0.43314,0.421,0.82787,0.98812,0.99487,0.99387,0.90827,0.41675,0.31207,0.84127,0.00132185,0.00132185,0.00132185
139,210.825,0.44082,0.40314,0.82688,0.99449,0.99487,0.99413,0.9035,0.43533,0.30231,0.84737,0.0013169,0.0013169,0.0013169
140,212.197,0.42766,0.3963,0.83125,0.99449,0.99487,0.99413,0.9035,0.43533,0.30231,0.84737,0.00131195,0.00131195,0.00131195
141,213.707,0.43059,0.40173,0.82726,0.9888,0.99487,0.99474,0.91935,0.40628,0.29089,0.83721,0.001307,0.001307,0.001307
142,215.045,0.42332,0.37786,0.83214,0.9888,0.99487,0.99474,0.91935,0.40628,0.29089,0.83721,0.00130205,0.00130205,0.00130205
