epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,225.416,0.45668,0.40032,0.8272,1,0.99454,0.995,0.92371,0.38614,0.31035,0.83117,0.0011816,0.0011816,0.0011816
126,227.153,0.43677,0.40812,0.84162,1,0.99449,0.995,0.92759,0.37608,0.29624,0.82892,0.001175,0.001175,0.001175
127,228.853,0.44874,0.39684,0.83675,1,0.99449,0.995,0.92759,0.37608,0.29624,0.82892,0.0011684,0.0011684,0.0011684
128,230.608,0.43298,0.38538,0.83761,1,0.99442,0.995,0.9252,0.37554,0.28365,0.82913,0.0011618,0.0011618,0.0011618
129,232.305,0.44522,0.39359,0.8319,1,0.99442,0.995,0.9252,0.37554,0.28365,0.82913,0.0011552,0.0011552,0.0011552
130,234.105,0.45005,0.40627,0.8465,0.99489,0.99823,0.99495,0.91706,0.37732,0.27607,0.82939,0.0011486,0.0011486,0.0011486
131,235.887,0.45513,0.40009,0.85067,0.99964,0.98974,0.99495,0.92169,0.38682,0.28311,0.83127,0.001142,0.001142,0.001142
132,237.609,0.44578,0.41633,0.84972,0.99964,0.98974,0.99495,0.92169,0.38682,0.28311,0.83127,0.0011354,0.0011354,0.0011354
133,239.319,0.41713,0.37078,0.81414,0.99489,0.99769,0.99495,0.94134,0.37364,0.2771,0.82655,0.0011288,0.0011288,0.0011288
134,241.005,0.44015,0.39612,0.82382,0.99489,0.99769,0.99495,0.94134,0.37364,0.2771,0.82655,0.0011222,0.0011222,0.0011222
135,242.738,0.45171,0.41489,0.85485,0.9942,0.99487,0.99495,0.93937,0.35991,0.25861,0.82511,0.0011156,0.0011156,0.0011156
136,244.528,0.46117,0.41617,0.8394,0.999,0.99487,0.995,0.93862,0.35752,0.26026,0.82492,0.001109,0.001109,0.001109
137,246.269,0.41014,0.37091,0.83651,0.999,0.99487,0.995,0.93862,0.35752,0.26026,0.82492,0.0011024,0.0011024,0.0011024
